               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12208,             0.20053,            0.042325,                   0,                   0,                   0,                   0,             0.12213,             0.15556,            0.044604,                 0.1,                   0,                   0
                   1,             0.12728,             0.26604,            0.041987,            0.000668,           0.0061728,          0.00034263,          6.8453e-05,             0.12217,             0.15903,            0.044614,            0.099099,           9.934e-05,           9.934e-05
                   2,             0.12462,             0.17667,            0.043685,          0.00066138,           0.0061728,          0.00033911,          6.7757e-05,             0.12215,             0.15886,            0.044568,            0.098197,          0.00019736,          0.00019736
                   3,             0.12282,             0.18455,            0.042911,          0.00066401,           0.0061728,          0.00034027,          6.7992e-05,             0.12211,             0.15893,            0.044568,            0.097294,          0.00029406,          0.00029406
                   4,             0.12338,             0.21037,            0.042633,           0.0014143,            0.010739,          0.00072974,          0.00017962,             0.12223,              0.1577,            0.044604,            0.096389,          0.00038944,          0.00038944
                   5,             0.12501,             0.14152,            0.042109,          0.00069013,           0.0061728,          0.00035341,          0.00014116,             0.12222,             0.15753,            0.044595,            0.095483,           0.0004835,           0.0004835
                   6,             0.12371,             0.25447,            0.042365,           0.0014124,            0.012346,          0.00074039,          0.00022099,             0.12216,             0.15748,             0.04455,            0.094576,          0.00057624,          0.00057624
                   7,             0.12551,             0.19103,            0.042972,           0.0021414,            0.016912,           0.0011154,          0.00044419,             0.12216,             0.15741,            0.044559,            0.093668,          0.00066766,          0.00066766
                   8,             0.11825,              0.1766,             0.04216,           0.0021574,            0.016912,           0.0011245,          0.00033409,             0.12206,             0.15738,            0.044559,            0.092758,          0.00075776,          0.00075776
                   9,             0.12523,             0.28968,             0.04369,           0.0042194,            0.031215,           0.0022951,          0.00047712,             0.12217,             0.15558,            0.044888,            0.091847,          0.00084654,          0.00084654
                  10,             0.12548,             0.31561,            0.041931,           0.0014106,            0.010739,            0.002375,          0.00067486,             0.12212,              0.1561,            0.044714,            0.090934,            0.000934,            0.000934
                  11,             0.12509,             0.23586,            0.041892,           0.0033797,            0.022433,           0.0017645,          0.00036505,             0.12085,             0.16323,            0.044724,             0.09002,           0.0010201,           0.0010201
                  12,             0.11864,             0.22501,            0.043157,           0.0051425,            0.038693,           0.0029262,          0.00060079,             0.11966,             0.16919,            0.044916,            0.089105,            0.001105,            0.001105
                  13,             0.12179,             0.14737,            0.042242,           0.0083985,            0.067299,           0.0048029,           0.0013554,             0.11895,             0.17089,            0.044421,            0.088188,           0.0011885,           0.0011885
                  14,             0.12651,             0.18573,            0.041789,           0.0066672,            0.052996,           0.0038913,           0.0014058,             0.11853,              0.1727,            0.044312,            0.087271,           0.0012706,           0.0012706
                  15,             0.12186,             0.19848,            0.042231,           0.0076182,            0.061126,           0.0043341,            0.001745,             0.11795,             0.17403,            0.043652,            0.086351,           0.0013515,           0.0013515
                  16,             0.11796,             0.14212,            0.041334,           0.0067082,            0.052996,           0.0038826,            0.001704,             0.11722,             0.17684,            0.043304,            0.085431,            0.001431,            0.001431
                  17,             0.12005,              0.2047,            0.041929,           0.0067082,            0.052996,           0.0038826,            0.001704,             0.11722,             0.17684,            0.043304,            0.084509,           0.0015093,           0.0015093
                  18,             0.11807,             0.16578,            0.041134,           0.0073967,            0.057212,           0.0040749,           0.0012151,             0.11704,             0.17818,            0.043799,            0.083586,           0.0015862,           0.0015862
                  19,             0.12416,             0.27772,             0.04198,           0.0073967,            0.057212,           0.0040749,           0.0012151,             0.11704,             0.17818,            0.043799,            0.082662,           0.0016617,           0.0016617
                  20,             0.12065,              0.2372,            0.042239,           0.0072827,            0.057212,           0.0039817,          0.00097593,               0.117,             0.17791,            0.043762,            0.081736,            0.001736,            0.001736
                  21,             0.12395,             0.15162,            0.042567,           0.0072827,            0.057212,           0.0039817,          0.00097593,               0.117,             0.17791,            0.043762,            0.080809,           0.0018089,           0.0018089
                  22,              0.1234,             0.33687,            0.041542,           0.0051992,            0.038994,           0.0028509,          0.00060451,             0.11662,             0.17856,            0.043625,            0.079881,           0.0018806,           0.0018806
                  23,             0.11929,              0.1541,            0.041496,           0.0051992,            0.038994,           0.0028509,          0.00060451,             0.11662,             0.17856,            0.043625,            0.078951,           0.0019509,           0.0019509
                  24,             0.11788,             0.24305,            0.041476,            0.005215,            0.038994,            0.002861,          0.00046801,             0.11643,             0.17851,             0.04368,             0.07802,           0.0020198,           0.0020198
                  25,             0.12049,             0.28021,            0.042069,            0.005215,            0.038994,            0.002861,          0.00046801,             0.11643,             0.17851,             0.04368,            0.077088,           0.0020875,           0.0020875
                  26,             0.11487,             0.11765,            0.041181,           0.0043015,            0.032821,           0.0023061,          0.00041288,             0.11633,             0.17872,            0.043524,            0.076154,           0.0021538,           0.0021538
                  27,             0.12289,             0.20009,            0.042639,           0.0043015,            0.032821,           0.0023061,          0.00041288,             0.11633,             0.17872,            0.043524,            0.075219,           0.0022189,           0.0022189
                  28,             0.11961,             0.17935,              0.0423,           0.0050706,            0.040952,           0.0027209,          0.00052492,             0.11648,             0.17747,            0.043332,            0.074283,           0.0022826,           0.0022826
                  29,             0.11625,             0.19377,            0.040553,           0.0050706,            0.040952,           0.0027209,          0.00052492,             0.11648,             0.17747,            0.043332,            0.073345,           0.0023449,           0.0023449
